frame_idx,prev_identity,new_identity,new_run_len,gt_suspect,reason,trip_id
15,Identity_1,Identity_2,7,False,clean_transition,1052531782932580
39,Identity_2,Identity_1,17,False,clean_transition,1052531782932580
84,Identity_1,Identity_4,34,False,clean_transition,1213831782933880
37,Identity_1,Identity_4,43,False,clean_transition,1214411782938890
80,Identity_4,Identity_1,2,False,clean_transition,1214411782938890
91,Identity_1,Identity_4,8,False,clean_transition,1214411782938890
68,Identity_1,Identity_3,66,False,clean_transition,1214311782940460
178,Identity_2,Identity_6,14,False,clean_transition,1213801782959270
86,Identity_1,Identity_2,8,False,clean_transition,1214291782964480
44,Identity_1,Identity_2,27,False,clean_transition,1214371782965660
10,Identity_1,Identity_4,3,False,clean_transition,1066141782984490
10,Identity_1,Identity_4,13,False,clean_transition,1214421782987650
23,Identity_4,Identity_1,35,False,clean_transition,1214421782987650
58,Identity_1,Identity_4,9,False,clean_transition,1214421782987650
30,Identity_1,Identity_2,6,False,clean_transition,1213971783009550
5,Identity_1,Identity_2,80,False,clean_transition,1213881783051990
111,Identity_2,Identity_1,50,False,clean_transition,1213881783051990
14,Identity_2,Identity_4,64,False,clean_transition,1065661783068240
52,Identity_2,Identity_1,6,False,clean_transition,1214371783089590
85,Identity_1,Identity_2,3,False,clean_transition,1214371783089590
54,Identity_1,Identity_2,3,False,clean_transition,1052511783129160
7,Identity_2,Identity_1,67,False,clean_transition,1065911783154940
16,Identity_1,Identity_2,4,False,clean_transition,1214421783179920
174,Identity_1,Identity_2,7,False,clean_transition,1218891783181460
19,Identity_2,Identity_1,19,False,clean_transition,1214421783206730
40,Identity_4,Identity_3,23,False,clean_transition,1211381783318290
56,Identity_1,Identity_2,9,False,clean_transition,1211381783360930
86,Identity_1,Identity_8,11,True,ambiguous_1frame_glitch,1211281783391830
319,Identity_1,Identity_4,19,False,clean_transition,1065911783408850
338,Identity_4,Identity_6,46,False,clean_transition,1065911783408850
7,Identity_2,Identity_3,7,False,clean_transition,1066141783414100
5,Identity_1,Identity_4,53,False,clean_transition,1065661783416050
71,Identity_2,Identity_1,25,False,clean_transition,1211381783441950
102,Identity_1,Identity_2,18,False,clean_transition,1211381783441950
8,Identity_1,Identity_3,41,False,clean_transition,1065681783566850
33,Identity_2,Identity_4,62,False,clean_transition,1052681783571300
3,Identity_3,Identity_1,27,False,clean_transition,1066271783581860
24,Identity_2,Identity_3,11,False,clean_transition,1211301783594840
38,Identity_1,Identity_2,14,True,embeddings_contradict_label(dist=0.119),1214081783625840
52,Identity_2,Identity_1,2,True,embeddings_contradict_label(dist=0.145),1214081783625840
64,Identity_1,Identity_3,26,False,clean_transition,1213951783642920
44,Identity_1,Identity_3,6,False,clean_transition,1211311783741100
75,Identity_2,Identity_4,40,False,clean_transition,1214401783794570
177,Identity_1,Identity_2,18,False,clean_transition,1214311783828310
64,Identity_1,Identity_2,83,True,ambiguous_1frame_glitch,1211311783894610
148,Identity_2,Identity_4,12,True,ambiguous_1frame_glitch,1211311783894610
80,Identity_1,Identity_2,52,False,clean_transition,1211261783900430
39,Identity_1,Identity_2,16,False,clean_transition,1211261783976700
75,Identity_1,Identity_3,15,False,clean_transition,1211311784088260
2,Identity_1,Identity_2,101,False,clean_transition,1065621784104400
14,Identity_1,Identity_5,12,False,clean_transition,1213951784111300
37,Identity_3,Identity_4,5,False,clean_transition,1066121784161440
10,Identity_1,Identity_4,49,False,clean_transition,1065641784180630
4,Identity_2,Identity_4,47,False,clean_transition,1211311784184210
6,Identity_2,Identity_1,33,True,embeddings_contradict_label(dist=0.238),1214091784186090
16,Identity_1,Identity_3,8,False,clean_transition,1211591784192580
3,Identity_2,Identity_4,55,False,clean_transition,1066121784207580
96,Identity_1,Identity_2,63,False,clean_transition,1052621784230400
95,Identity_2,Identity_1,7,True,embeddings_contradict_label(dist=0.349),1065921784239810
102,Identity_1,Identity_2,15,True,embeddings_contradict_label(dist=0.279),1065921784239810
80,Identity_1,Identity_9,7,False,clean_transition,1065641784300750
87,Identity_9,Identity_10,19,False,clean_transition,1065641784300750
18,Identity_2,Identity_3,30,False,clean_transition,1066121784319670
49,Identity_1,Identity_3,12,False,clean_transition,1052511784351490
