case_id,dataset,trip_id,case_type,gt_frame,alert_frame,prev_identity,new_identity,decision_baseline,decision_memory,coincide_baseline_memory,n_frames_mostrados,note
1,reviewed_07,1211591784531990,FP_MEMORY,,37,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #37,False,19,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
2,reviewed_07,1052681784565850,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,37,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
3,reviewed_07,1066451784396920,FP_MEMORY,,76,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #76,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
4,reviewed_07,1214471784190100,FP_MEMORY,,104,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #104,False,48,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
5,reviewed_07,1214471784190100,FP_MEMORY,,116,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #116,False,25,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
6,reviewed_07,1214441784340640,FP_MEMORY,,3,,,CAMBIO_CONFIRMADO en frame #2,CAMBIO_CONFIRMADO en frame #3,True,64,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
7,reviewed_07,1214441784340640,FP_MEMORY,,78,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #78,False,33,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
8,reviewed_07,1066271783581860,FP_MEMORY,,8,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #8,False,82,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
9,reviewed_07,1214411782938890,FP_MEMORY,,29,,,CAMBIO_CONFIRMADO en frame #23,CAMBIO_CONFIRMADO en frame #29,False,126,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
10,reviewed_07,1214291784061220,FP_MEMORY,,43,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #43,False,22,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
11,reviewed_07,1065621784713660,FP_MEMORY,,5,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #5,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
12,reviewed_07,1052541783501260,FP_MEMORY,,28,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #28,False,52,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
13,reviewed_07,1211591784157770,FP_MEMORY,,12,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #12,False,75,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
14,reviewed_07,1062841784846960,FP_MEMORY,,6,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #6,False,25,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
15,reviewed_07,1062841784846960,FP_MEMORY,,10,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #10,False,30,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
16,reviewed_07,1211261784361700,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,157,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
17,reviewed_07,1211311784606480,FP_MEMORY,,42,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #42,False,71,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
18,reviewed_07,1214421783794510,FP_MEMORY,,3,,,CAMBIO_CONFIRMADO en frame #9,CAMBIO_CONFIRMADO en frame #3,False,20,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
19,reviewed_07,1213851784795040,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,50,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
20,reviewed_07,1250361784067000,FP_MEMORY,,118,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #118,False,37,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
21,reviewed_07,1250361784067000,FP_MEMORY,,121,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #121,False,37,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
22,reviewed_07,1236111784827880,FP_MEMORY,,4,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,16,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
23,reviewed_07,1211381784456180,FP_MEMORY,,20,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #20,False,21,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
24,reviewed_07,1062841784835060,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,14,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
25,reviewed_07,1236161784409090,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,14,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
26,reviewed_07,1206561783589900,FP_MEMORY,,3,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #3,False,18,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
27,reviewed_07,1065911783623710,FP_MEMORY,,130,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #130,False,21,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
28,reviewed_07,1065911783623710,FP_MEMORY,,135,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #135,False,32,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
29,reviewed_07,1245861784439850,FP_MEMORY,,2,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #2,False,13,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
