trip_id,alert_frame
717021775054869,56
717021775054869,59
717021775054869,85
717021775054869,91
1866471775146080,2
1867151775185070,4
1852761775042780,64
1236121775057117,3
1509291775178980,2
1866731775035702,6
1866731775035702,8
716671775240518,54
1821221776505192,5
717111775209843,10
1790311775105412,3
716971775050171,13
1236131775556075,3
1618671775021611,2
1866611775027769,2
1214401775047277,7
716561775458958,62
716561775458958,71
1866621775112847,3
1808801775184559,5
966681775121086,2
1245811775015664,7
1214301775622904,101
1866661775098621,2
1866851775062800,6
1648901775057795,8
1821221775166354,2
716151776523235,3
1821231775089655,4
716131775294644,16
1848401776375047,2
1808751775132978,32
1808751775132978,35
1866991775055199,60
1808781775175012,3
1808781775175012,56
1867461776487856,263
1808771775153637,18
712671775294963,47
716671775460854,51
1792431775157755,6
1888041775054341,14
716721775048243,72
1866471775409751,4
717021775128218,2
1661531775014601,5
1820971775041267,8
1866501775173371,172
1867461775421243,30
1867461775421243,35
1791731775213498,92
1791731775213498,96
