trip_id,gt_frame,alert_frame,delay
1052511783129160,54,55,1
1066121784207580,3,4,1
1211261783900430,80,78,-2
1211301784553850,38,39,1
1211311784184210,4,6,2
1052621784230400,96,99,3
1065681783566850,8,10,2
1211591784192580,16,18,2
1214051784411800,208,209,1
1052681784504990,74,76,2
1211311784088260,75,78,3
1214401783794570,75,76,1
1066271784354910,9,10,1
1213801782959270,178,179,1
1065641784300750,80,81,1
1065641784761550,16,17,1
1065661783416050,5,6,1
1213971783009550,30,31,1
1214371783089590,52,55,3
1065621784104400,2,4,2
1065661783068240,14,16,2
1211311783894610,148,150,2
1062841784698540,27,29,2
1211381783318290,40,42,2
1211301783594840,24,25,1
1065641784180630,10,11,1
