version,trip_id,actual_events,predicted_events,tp_events,fp_events,fn_events,tp_events_tol1,fp_events_tol1,fn_events_tol1,alert_rows,actual_change_rows
v1_main,1866501776290564,58,5,0,5,58,0,5,58,7,58
v1_main,717151776919573,56,6,1,5,55,3,3,53,7,56
v1_main,711901776485730,51,5,2,3,49,2,3,49,7,51
v1_main,1256191776478958,36,3,0,3,36,0,3,36,5,36
v1_main,1866971775047635,34,4,1,3,33,1,3,33,7,34
v1_main,1808781775199502,30,11,2,9,28,5,6,25,14,30
v1_main,716131776699492,28,3,0,3,28,1,2,27,3,28
v1_main,1808751776963766,30,4,2,2,28,3,1,27,5,30
v1_main,715661776496674,28,9,1,8,27,3,6,25,10,28
v1_main,1592541776621898,26,6,0,6,26,0,6,26,6,26
v1_main,1592541776929343,29,7,3,4,26,4,3,25,7,29
v1_main,1243861776560537,26,3,0,3,26,0,3,26,3,26
v1_main,1649011776288040,26,3,1,2,25,2,1,24,4,26
v1_main,1791781776299254,25,7,1,6,24,1,6,24,7,25
v1_main,1867201776957935,24,3,0,3,24,1,2,23,3,24
v1_main,1808751776300482,25,2,1,1,24,1,1,24,3,25
v1_main,1866541775094328,24,3,1,2,23,1,2,23,3,24
v1_main,1790491776286034,24,1,1,0,23,1,0,23,1,24
v1_main,1790541776305985,24,1,1,0,23,1,0,23,1,24
v1_main,1866491775034556,24,7,2,5,22,2,5,22,9,24
v1_main,1719041775097109,23,4,1,3,22,1,3,22,5,23
v1_main,1792391776920647,22,3,0,3,22,0,3,22,3,22
v1_main,1480121776323426,22,1,0,1,22,0,1,22,1,22
v1_main,1821141776895300,22,1,0,1,22,0,1,22,2,22
v1_main,1649011775077517,22,8,1,7,21,3,5,19,12,22
v1_main,1808721776629184,22,1,1,0,21,1,0,21,1,22
v1_main,1866531776291130,22,10,2,8,20,3,7,19,10,22
v1_main,711861776366938,20,3,0,3,20,2,1,18,3,20
v1_main,1808781776291405,20,1,0,1,20,0,1,20,1,20
v1_main,1867391776320623,21,5,2,3,19,2,3,19,5,21
v1_main,1867391776295243,19,2,0,2,19,0,2,19,2,19
v1_main,1866471775221895,20,12,2,10,18,4,8,16,16,20
