version,trip_id,source_asset_id,rows_output,unique_personas,alerts,manual_review,cambio_confirmado,posible_cambio,mismo_conductor,indeterminado,inicio_viaje,mini_ids,fragmented_drivers
v1_main,1052571775085688,105257,57,2,6,6,0,6,50,0,1,1,1
v1_main,1052571775111218,105257,54,2,4,4,0,4,49,0,1,1,1
v1_main,1052571775126558,105257,37,1,1,1,0,1,35,0,1,0,0
v1_main,1066141775007639,106614,45,2,4,4,0,4,40,0,1,1,1
v1_main,1066141775039867,106614,62,2,7,7,0,7,54,0,1,1,1
v1_main,1066141775063347,106614,64,1,0,0,0,0,63,0,1,0,0
v1_main,1066141775086247,106614,74,2,5,5,0,5,68,0,1,1,1
v1_main,1098631776522531,109863,376,2,5,5,0,5,370,0,1,0,1
v1_main,1098631776598420,109863,250,2,3,3,0,3,246,0,1,0,1
v1_main,1098641775019397,109864,39,2,6,6,0,6,32,0,1,0,1
v1_main,1098641775295715,109864,61,3,7,7,0,7,53,0,1,0,2
v1_main,1098641776957565,109864,152,3,17,17,0,17,134,0,1,1,1
v1_main,1211421775239255,121142,81,1,0,0,0,0,80,0,1,0,0
v1_main,1211421775449672,121142,90,1,1,1,0,1,88,0,1,0,0
v1_main,1211421776328950,121142,130,3,14,14,0,14,115,0,1,0,2
v1_main,1211501775020618,121150,48,1,2,2,0,2,45,0,1,0,0
v1_main,1211501775059709,121150,46,1,8,8,0,8,37,0,1,0,0
v1_main,1211501776318412,121150,111,3,2,2,0,2,108,0,1,1,1
v1_main,1213801776293169,121380,34,3,5,5,0,5,28,0,1,0,1
v1_main,1213801776938558,121380,331,2,13,13,0,13,317,0,1,0,1
v1_main,1213811775057001,121381,191,2,20,20,0,20,170,0,1,0,1
v1_main,1213851776315087,121385,221,1,15,15,0,15,205,0,1,0,0
v1_main,1213851776532188,121385,259,2,2,2,0,2,256,0,1,0,1
v1_main,1213851776961895,121385,204,2,11,11,0,11,192,0,1,1,1
v1_main,1213861775217469,121386,123,2,9,9,0,9,113,0,1,1,2
v1_main,1213861775244697,121386,101,1,3,3,0,3,97,0,1,0,0
v1_main,1213861776318760,121386,249,1,3,3,0,3,245,0,1,0,0
v1_main,1213861776375810,121386,138,2,6,6,0,6,131,0,1,0,1
v1_main,1213881776528952,121388,161,2,1,1,0,1,159,0,1,0,1
v1_main,1213891775060917,121389,97,2,5,5,0,5,91,0,1,0,1
v1_main,1213961776546764,121396,171,1,0,0,0,0,170,0,1,0,0
v1_main,1213961776695943,121396,98,1,0,0,0,0,97,0,1,0,0
v1_main,1213961776711893,121396,121,2,3,3,0,3,117,0,1,0,1
v1_main,1213991775115194,121399,203,2,3,3,0,3,199,0,1,0,1
v1_main,1214051776285875,121405,179,2,3,3,0,3,175,0,1,1,1
v1_main,1214051776313672,121405,64,2,5,5,0,5,58,0,1,1,1
v1_main,1214121775172145,121412,61,2,1,1,0,1,59,0,1,0,1
v1_main,1214121775505601,121412,122,2,5,5,0,5,116,0,1,1,1
v1_main,1214121776444601,121412,148,1,3,3,0,3,144,0,1,0,0
v1_main,1214161776369051,121416,400,2,6,6,0,6,393,0,1,1,1
v1_main,1214161776437327,121416,311,3,14,14,0,14,296,0,1,1,1
v1_main,1214161776646557,121416,178,3,5,5,0,5,172,0,1,2,1
v1_main,1214171775087559,121417,96,1,4,4,0,4,91,0,1,0,0
v1_main,1214171776505343,121417,261,1,3,3,0,3,257,0,1,0,0
v1_main,1214191776808863,121419,109,2,5,5,0,5,103,0,1,0,1
v1_main,1214211775145907,121421,169,1,0,0,0,0,168,0,1,0,0
v1_main,1214211775193348,121421,119,1,0,0,0,0,118,0,1,0,0
v1_main,1214301775622904,121430,177,3,17,17,0,17,159,0,1,0,1
v1_main,1214301776533469,121430,130,2,4,4,0,4,125,0,1,1,1
v1_main,1214341776300565,121434,135,2,3,3,0,3,131,0,1,0,1
v1_main,1214341776315510,121434,279,3,5,5,0,5,273,0,1,1,2
v1_main,1214341776422406,121434,153,3,3,3,0,3,149,0,1,0,1
v1_main,1214361775471743,121436,119,2,6,5,1,5,112,0,1,0,1
v1_main,1214401775047277,121440,53,2,17,17,0,17,35,0,1,0,1
v1_main,1214401775064153,121440,57,2,17,17,0,17,39,0,1,0,1
v1_main,1214401775103670,121440,112,2,26,26,0,26,85,0,1,0,1
v1_main,1214401776376502,121440,81,2,2,2,0,2,78,0,1,1,1
v1_main,1214401776429290,121440,74,1,2,2,0,2,71,0,1,0,0
v1_main,1214401776447928,121440,98,2,3,3,0,3,94,0,1,0,1
v1_main,1214401776908776,121440,63,2,4,4,0,4,58,0,1,0,1
v1_main,1214451776357406,121445,251,2,4,4,0,4,246,0,1,0,1
v1_main,1214451776412924,121445,170,2,6,5,1,5,163,0,1,0,1
v1_main,1218891776871579,121889,283,2,3,3,0,3,279,0,1,1,1
v1_main,1236121775057117,123612,130,2,7,7,0,7,122,0,1,1,1
v1_main,1236121775084375,123612,202,1,0,0,0,0,201,0,1,0,0
v1_main,1236121775751874,123612,111,1,2,2,0,2,108,0,1,0,0
v1_main,1236121775769714,123612,111,2,6,6,0,6,104,0,1,1,1
v1_main,1236121775830984,123612,122,2,13,13,0,13,108,0,1,0,1
v1_main,1236121776574767,123612,225,2,1,1,0,1,223,0,1,0,1
v1_main,1236131775007199,123613,59,2,5,5,0,5,53,0,1,1,1
v1_main,1236131775168872,123613,51,2,5,5,0,5,45,0,1,1,1
v1_main,1236131775183742,123613,93,1,1,1,0,1,91,0,1,0,0
v1_main,1236131775556075,123613,75,2,5,5,0,5,69,0,1,0,1
v1_main,1243861775149241,124386,123,2,5,5,0,5,117,0,1,0,1
v1_main,1243861775525324,124386,212,2,3,2,1,2,208,0,1,1,1
v1_main,1243861776340498,124386,257,3,3,3,0,3,253,0,1,1,1
v1_main,1243861776478564,124386,259,3,9,8,1,8,249,0,1,0,1
v1_main,1243861776560537,124386,281,3,3,3,0,3,277,0,1,0,2
v1_main,1245811775015664,124581,65,2,4,4,0,4,60,0,1,1,1
v1_main,1245811775086706,124581,82,1,16,16,0,16,65,0,1,0,0
v1_main,1245811776333528,124581,185,2,13,13,0,13,171,0,1,0,0
v1_main,1245811776605963,124581,128,1,9,9,0,9,118,0,1,0,0
v1_main,1245851776474907,124585,153,2,1,1,0,1,151,0,1,0,1
v1_main,1250351776461711,125035,280,2,3,3,0,3,276,0,1,0,1
v1_main,1250351776493066,125035,378,2,2,1,1,1,375,0,1,0,1
v1_main,1250361775098312,125036,79,2,4,4,0,4,74,0,1,1,2
v1_main,1250361775157420,125036,109,3,5,5,0,5,103,0,1,1,1
v1_main,1250361776335230,125036,202,1,2,2,0,2,199,0,1,0,0
v1_main,1256191775060406,125619,93,2,9,9,0,9,83,0,1,0,1
v1_main,1256191775338515,125619,65,1,0,0,0,0,64,0,1,0,0
v1_main,1256191776449149,125619,262,2,3,3,0,3,258,0,1,0,1
v1_main,1256191776478958,125619,256,2,5,5,0,5,250,0,1,0,2
v1_main,1256191776519659,125619,113,2,5,4,1,4,107,0,1,1,1
v1_main,1263951775102100,126395,79,5,15,15,0,15,63,0,1,2,2
v1_main,1263951775342723,126395,61,1,4,4,0,4,56,0,1,0,0
v1_main,1263951775406740,126395,52,2,8,8,0,8,43,0,1,0,1
v1_main,1263951776372708,126395,117,3,5,5,0,5,111,0,1,1,1
v1_main,1263951776395748,126395,141,3,12,12,0,12,128,0,1,0,2
v1_main,1264001775237348,126400,43,2,7,7,0,7,35,0,1,1,1
v1_main,1264001775329460,126400,43,2,5,5,0,5,37,0,1,1,1
v1_main,1264001776343000,126400,188,2,12,12,0,12,175,0,1,0,2
v1_main,1264001776536030,126400,129,1,6,6,0,6,122,0,1,0,0
v1_main,1264001776606637,126400,116,2,5,5,0,5,110,0,1,1,1
v1_main,1264091775090606,126409,115,2,15,14,1,14,99,0,1,0,1
v1_main,1264091775113066,126409,77,3,8,7,1,7,68,0,1,1,1
v1_main,1264281775006966,126428,59,2,9,9,0,9,49,0,1,0,2
v1_main,1264281775205639,126428,73,2,10,10,0,10,62,0,1,0,2
v1_main,1264281775309154,126428,63,2,5,5,0,5,57,0,1,1,1
v1_main,1264291775143352,126429,36,1,1,1,0,1,34,0,1,0,0
v1_main,1264291775172775,126429,46,2,4,4,0,4,41,0,1,1,1
v1_main,1264291775330721,126429,31,2,2,1,1,1,28,0,1,1,1
v1_main,1264291776337806,126429,387,3,14,14,0,14,372,0,1,1,1
v1_main,1264291776430246,126429,153,3,13,10,3,10,139,0,1,0,1
v1_main,1264291776458997,126429,147,1,7,7,0,7,139,0,1,0,0
v1_main,1264301775275364,126430,139,2,7,7,0,7,131,0,1,0,1
v1_main,1264301775372311,126430,152,3,14,14,0,14,137,0,1,2,1
v1_main,1264301776337759,126430,237,2,11,11,0,11,225,0,1,0,2
v1_main,1264301776387256,126430,187,2,2,2,0,2,184,0,1,0,1
v1_main,1264341775399858,126434,162,2,16,14,2,14,145,0,1,0,2
v1_main,1264341776448125,126434,364,2,4,4,0,4,359,0,1,1,1
v1_main,1264341776503271,126434,109,1,1,1,0,1,107,0,1,0,0
v1_main,1264341776544548,126434,80,2,6,6,0,6,73,0,1,1,1
v1_main,1264341776928319,126434,122,2,9,9,0,9,112,0,1,0,1
v1_main,1264391775040919,126439,50,2,6,6,0,6,43,0,1,1,1
v1_main,1264391775071870,126439,41,2,2,2,0,2,38,0,1,1,1
v1_main,1264401775046523,126440,81,2,14,14,0,14,66,0,1,0,2
v1_main,1264401775100681,126440,76,1,2,2,0,2,73,0,1,0,0
v1_main,1264401775111741,126440,86,2,5,5,0,5,80,0,1,0,0
v1_main,1264401776301422,126440,86,1,1,1,0,1,84,0,1,0,0
v1_main,1264401776323964,126440,116,3,5,5,0,5,110,0,1,1,1
v1_main,1270471775074005,127047,68,3,7,7,0,7,60,0,1,2,1
v1_main,1270471775144100,127047,59,1,6,6,0,6,52,0,1,0,0
v1_main,1270471775189011,127047,65,3,7,7,0,7,57,0,1,1,1
v1_main,1278961775037478,127896,110,2,7,5,2,5,102,0,1,1,2
v1_main,1278961775094027,127896,74,2,9,8,1,8,64,0,1,0,1
v1_main,1278961776284171,127896,59,1,9,9,0,9,49,0,1,0,0
v1_main,1278961776305664,127896,110,1,2,2,0,2,107,0,1,0,0
v1_main,1278961776379679,127896,85,1,3,3,0,3,81,0,1,0,0
v1_main,1479961775164998,147996,111,2,10,9,1,9,100,0,1,0,1
v1_main,1480061775253090,148006,17,2,4,3,1,3,12,0,1,1,1
v1_main,1480061775299920,148006,35,1,6,6,0,6,28,0,1,0,0
v1_main,1480061776493298,148006,213,3,2,2,0,2,210,0,1,0,2
v1_main,1480061776559750,148006,187,2,2,2,0,2,184,0,1,1,1
v1_main,1480061776636715,148006,168,1,1,0,1,0,166,0,1,0,0
v1_main,1480091775247591,148009,113,3,10,10,0,10,102,0,1,1,2
v1_main,1480091776346277,148009,227,3,7,7,0,7,219,0,1,0,1
v1_main,1480091776379263,148009,129,2,8,8,0,8,120,0,1,1,1
v1_main,1480121775031911,148012,76,1,3,3,0,3,72,0,1,0,0
v1_main,1480121775491525,148012,88,2,9,7,2,7,78,0,1,0,1
v1_main,1480121776323426,148012,179,1,1,1,0,1,177,0,1,0,0
v1_main,1480121776350966,148012,313,2,6,4,2,4,306,0,1,1,1
v1_main,1480121776414071,148012,287,1,2,1,1,1,284,0,1,0,0
v1_main,1480121776927696,148012,85,1,0,0,0,0,84,0,1,0,0
v1_main,1480211775517727,148021,106,2,3,3,0,3,102,0,1,0,1
v1_main,1480211776288557,148021,111,2,2,2,0,2,108,0,1,0,1
v1_main,1486491775187931,148649,70,2,10,10,0,10,59,0,1,1,1
v1_main,1486491775224728,148649,76,2,1,1,0,1,74,0,1,0,2
v1_main,1486491775252958,148649,47,2,3,3,0,3,43,0,1,1,1
v1_main,1486491775314441,148649,94,2,9,9,0,9,84,0,1,0,2
v1_main,1486491776482041,148649,183,2,4,4,0,4,178,0,1,0,1
v1_main,1486491776514520,148649,68,2,10,10,0,10,57,0,1,1,1
v1_main,1486491776919925,148649,167,1,0,0,0,0,166,0,1,0,0
v1_main,1507111775186314,150711,68,2,3,2,1,2,64,0,1,0,1
v1_main,1507111775235100,150711,84,3,10,9,1,9,73,0,1,2,1
v1_main,1507111776401624,150711,129,4,10,10,0,10,118,0,1,2,2
v1_main,1509261775133507,150926,49,1,3,3,0,3,45,0,1,0,0
v1_main,1509261776350606,150926,68,1,0,0,0,0,67,0,1,0,0
v1_main,1509271775067704,150927,36,1,1,1,0,1,34,0,1,0,0
v1_main,1509271775124548,150927,46,2,1,1,0,1,44,0,1,1,1
v1_main,1509271775185680,150927,49,1,1,1,0,1,47,0,1,0,0
v1_main,1509271776298576,150927,108,1,1,1,0,1,106,0,1,0,0
v1_main,1509271776365794,150927,83,2,3,2,1,2,79,0,1,0,1
v1_main,1509271776396674,150927,91,2,3,3,0,3,87,0,1,1,1
v1_main,1509271776947490,150927,74,2,5,5,0,5,68,0,1,0,1
v1_main,1509291775178980,150929,79,2,1,1,0,1,77,0,1,1,1
v1_main,1509291775221741,150929,78,2,5,5,0,5,72,0,1,0,1
v1_main,1509291776301080,150929,179,1,7,7,0,7,171,0,1,0,0
v1_main,1509291776357797,150929,214,4,8,8,0,8,205,0,1,1,1
v1_main,1509331775567630,150933,48,1,0,0,0,0,47,0,1,0,0
v1_main,1509351775002287,150935,38,1,2,2,0,2,35,0,1,0,0
v1_main,1526701775023627,152670,98,2,10,10,0,10,87,0,1,0,1
v1_main,1526701775098261,152670,77,3,13,13,0,13,63,0,1,0,2
v1_main,1526701775380109,152670,62,2,5,4,1,4,56,0,1,0,1
v1_main,1526701776379291,152670,287,3,4,4,0,4,282,0,1,0,1
v1_main,1526701776406119,152670,250,1,2,2,0,2,247,0,1,0,0
